kepid,tce_plnt_num,pred_score,pred_class,norm_kepid
002852528,01,0.000,0,100001645
002852560,01,0.000,0,100001645
002852810,01,0.000,0,100001645
002852941,01,0.854,1,100001645
002852942,01,0.000,0,100001645
002853029,01,0.923,1,100001645
002853093,01,1.000,1,100001645
002853280,01,0.000,0,100001645
002853320,01,0.000,0,100001645
002853446,01,1.000,1,100001645
002853780,01,0.881,1,100001645
002853828,01,0.000,0,100001645
002854181,01,1.000,1,100001645
002854698,01,1.000,1,100001645
002854795,01,0.000,0,100001645
002854839,01,0.325,0,100001645
002854914,01,1.000,1,100001645
002854948,01,0.000,0,100001645
002854953,01,0.000,0,100001645
002855026,01,0.000,0,100001645
002855415,01,0.000,0,100001645
002855603,01,0.000,0,100001645
002856209,01,0.000,0,100001645
002856756,01,0.000,0,100001645
002856960,01,0.000,0,100001645
002857607,01,0.999,1,100001645
002857722,01,0.000,0,100001645
002859299,01,0.000,0,100001645
002860114,01,0.000,0,100001645
002860579,01,0.000,0,100001645
002860594,01,0.000,0,100001645
002860656,01,0.798,1,100001645
002860788,01,0.000,0,100001645
002860793,01,0.000,0,100001645
002860851,01,0.000,0,100001645
002860866,01,1.000,1,100001645
002860930,01,0.000,0,100001645
002861126,01,0.997,1,100001645
002861394,01,0.000,0,100001645
002865774,01,0.000,0,100001645
002968811,01,0.000,0,100001645
002969628,01,0.000,0,100001645
002969638,01,0.000,0,100001645
002969991,01,0.000,0,100001645
002970670,01,0.894,1,100001645
002970804,01,0.000,0,100001645
002970836,01,0.000,0,100001645
002971415,01,0.000,0,100001645
002972005,01,0.000,0,100001645
002973386,01,1.000,1,100001645
002973509,01,0.000,0,100001645
002975340,01,0.000,0,100001645
002975770,01,0.933,1,100001645
002975832,01,0.000,0,100001645
002976017,01,0.994,1,100001645
002983000,01,0.000,0,100001645
002983219,01,0.000,0,100001645
002984505,01,0.000,0,100001645
002984632,01,0.000,0,100001645
002984990,01,0.979,1,100001645
002985022,01,0.000,0,100001645
002985054,01,0.000,0,100001645
002985587,01,1.000,1,100001645
002985767,01,1.000,1,100001645
002986833,01,0.988,1,100001645
002987027,01,0.990,1,100001645
002987433,01,0.000,0,100001645
002987660,01,0.000,0,100001645
002988145,01,0.000,0,100001645
002988783,01,0.000,0,100001645
002988964,01,0.000,0,100001645
002989404,01,1.000,1,100001645
002989706,01,0.000,0,100001645
002990873,01,0.993,1,100001645
002991448,01,0.000,0,100001645
002991460,01,0.000,0,100001645
002992648,01,0.000,0,100001645
002992668,01,0.000,0,100001645
002993589,01,0.000,0,100001645
002994092,01,0.789,1,100001645
002994666,01,0.000,0,100001645
002994888,01,0.000,0,100001645
002995392,01,0.990,1,100001645
002995823,01,0.000,0,100001645
002995931,01,0.000,0,100001645
002996015,01,0.000,0,100001645
002996903,01,0.000,0,100001645
002997178,01,0.000,0,100001645
002997455,01,0.000,0,100001645
002997459,01,0.571,1,100001645
002997821,01,0.000,0,100001645
002998070,01,0.000,0,100001645
002998124,01,0.000,0,100001645
002998561,01,0.000,0,100001645
003001885,01,0.000,0,100001645
003002336,01,0.000,0,100001645
003002379,01,0.000,0,100001645
003002478,01,0.999,1,100001645
003003019,01,0.000,0,100001645
